ibge;anomes;bpc_ben;bpc_pcd_ben;bpc_idoso_ben;bpc_pcd_val;bpc_idoso_val;bpc_val
110001;201801;512;406;106;386340.34;100478.96;486819.3
110002;201801;2774;1659;1115;1580806.2;1062803.5;2643609.8
110003;201801;94;74;20;70596.0;19080.0;89676.0
110004;201801;1989;1265;724;1203909.0;690400.25;1894309.2
110005;201801;434;349;85;332660.0;81080.46;413740.47
110006;201801;446;342;104;325981.8;99196.92;425178.72
110007;201801;82;65;17;62010.0;16218.0;78228.0
110008;201801;240;137;103;129462.9;98262.0;227724.9
110009;201801;785;532;253;505335.2;241163.0;746498.2
110010;201801;1776;1098;678;1046259.0;646670.5;1692929.5
110011;201801;1886;1449;437;1380815.2;416868.34;1797683.5
110012;201801;4118;2391;1727;2273557.2;1646286.5;3919843.8
110013;201801;747;563;184;537092.44;175536.0;712628.44
110014;201801;364;309;55;294765.88;52465.23;347231.12
110015;201801;1422;1144;278;1088948.9;264620.53;1353569.4
110018;201801;1113;661;452;630280.0;431195.22;1061475.2
110020;201801;15311;8995;6316;8536984.0;6015128.5;1,46E+14
110025;201801;646;473;173;449244.12;165033.0;614277.1
110026;201801;43;29;14;27666.0;13356.0;41022.0
110028;201801;1638;1187;451;1127549.6;426661.44;1554211.0
110029;201801;139;122;17;116388.0;16218.0;132606.0
110030;201801;2473;1661;812;1581879.2;773747.44;2355626.8
110032;201801;396;304;92;289707.0;87764.0;377471.0
110033;201801;661;499;162;473043.0;154544.0;627587.0
110034;201801;360;269;91;254314.0;86147.0;340461.0
110037;201801;103;84;19;80136.0;18126.0;98262.0
110040;201801;329;221;108;210834.0;103032.0;313866.0
110045;201801;931;614;317;584210.0;300714.38;884924.4
110050;201801;95;77;18;73458.0;17172.0;90630.0
110060;201801;86;45;41;42930.0;39114.0;82044.0
110070;201801;128;76;52;72504.0;49322.0;121826.0
110080;201801;395;235;160;221967.19;152591.27;374558.44
110090;201801;32;27;5;25758.0;4770.0;30528.0
110092;201801;110;62;48;59148.0;45722.0;104870.0
110094;201801;196;137;59;130698.0;56286.0;186984.0
110100;201801;27;22;5;20988.0;4770.0;25758.0
110110;201801;72;45;27;42930.0;25758.0;68688.0
110120;201801;73;60;13;57240.0;12402.0;69642.0
110130;201801;302;243;59;230327.12;56286.0;286613.12
110140;201801;246;159;87;151400.6;82988.46;234389.05
110143;201801;46;39;7;37206.0;6678.0;43884.0
110145;201801;29;20;9;19080.0;8586.0;27666.0
110146;201801;22;11;11;10494.0;10494.0;20988.0
110147;201801;39;30;9;28620.0;8586.0;37206.0
110148;201801;39;27;12;25706.57;11448.0;37154.57
110149;201801;296;213;83;202915.8;79182.0;282097.8
110150;201801;84;57;27;54378.0;25491.89;79869.89
110155;201801;8;7;1;6678.0;954.0;7632.0
110160;201801;71;59;12;56286.0;11448.0;67734.0
110170;201801;210;170;40;162180.0;38160.0;200340.0
110175;201801;33;25;8;23850.0;7632.0;31482.0
110180;201801;93;81;12;77274.0;11448.0;88722.0
120001;201801;132;89;43;84864.0;40992.12;125856.12
120005;201801;191;120;71;114437.12;67734.0;182171.12
120010;201801;1006;648;358;611828.4;339299.16;951127.5
120013;201801;138;95;43;89943.94;40656.16;130600.1
120017;201801;92;59;33;56177.48;31439.12;87616.6
120020;201801;3512;2793;719;2634945.8;682319.7;3317265.2
120025;201801;601;337;264;319463.22;250815.03;570278.25
120030;201801;1021;853;168;805625.7;159514.12;965139.8
120032;201801;48;40;8;38138.12;7632.0;45770.12
120033;201801;213;187;26;178050.75;24804.0;202854.75
120034;201801;157;114;43;106826.12;40978.24;147804.36
120035;201801;31;21;10;20034.0;9540.0;29574.0
120038;201801;388;244;144;231951.88;137332.23;369284.12
120039;201801;23;21;2;20034.0;1908.0;21942.0
120040;201801;14001;9693;4308;9110829.0;4070573.8;1,32E+14
120042;201801;43;37;6;35298.0;5724.0;41022.0
120043;201801;13;3;10;2862.0;9540.0;12402.0
120045;201801;536;344;192;326095.38;182902.6;508997.97
120050;201801;1253;957;296;906187.0;282007.28;1188194.2
120060;201801;1405;1137;268;1068341.9;251578.72;1319920.6
120070;201801;503;361;142;337902.44;134126.55;472028.97
120080;201801;159;103;56;97054.3;52879.18;149933.48
130002;201801;149;104;45;99216.0;42930.0;142146.0
130006;201801;75;43;32;41022.0;30528.0;71550.0
130008;201801;144;77;67;72737.72;63195.96;135933.69
130010;201801;140;74;66;70596.0;62964.0;133560.0
130014;201801;240;175;65;166950.0;62010.0;228960.0
130020;201801;89;49;40;46746.0;38160.0;84906.0
130030;201801;886;541;345;516114.0;329120.47;845234.44
130040;201801;329;165;164;157410.0;155502.28;312912.28
130050;201801;553;307;246;292591.8;234684.0;527275.8
130060;201801;885;605;280;572021.2;264299.25;836320.44
130063;201801;550;287;263;273798.0;250880.12;524678.1
130068;201801;187;121;66;115434.0;62677.8;178111.8
130070;201801;1329;923;406;867044.6;382340.12;1249384.8
130080;201801;659;430;229;409838.4;218457.0;628295.4
130083;201801;70;38;32;36252.0;30528.0;66780.0
130090;201801;375;195;180;184350.95;171720.0;356070.97
