ibge;anomes;cadunico_tot_fam;cadunico_tot_pes;cadunico_tot_fam_rpc_ate_meio_sm;cadunico_tot_pes_rpc_ate_meio_sm;cadunico_tot_fam_pob;cadunico_tot_pes_pob;cadunico_tot_fam_ext_pob;cadunico_tot_pes_ext_pob;cadunico_tot_fam_pob_e_ext_pob;cadunico_tot_pes_pob_e_ext_pob
110001;201801;3308;10316;2688;9237;708;2576;1156;4026;1864;6602
110002;201801;11662;32281;8660;27251;2694;9091;2700;8414;5394;17505
110003;201801;681;2062;517;1730;162;579;96;299;258;878
110004;201801;8473;25402;6465;21534;1933;6782;1309;4698;3242;11480
110005;201801;2143;5976;1471;4767;360;1231;533;1801;893;3032
110006;201801;1701;4959;1084;3665;316;1129;124;415;440;1544
110007;201801;1247;3608;1011;3196;334;1109;327;1198;661;2307
110008;201801;2396;7782;2168;7465;280;903;1657;5951;1937;6854
110009;201801;4193;12335;3057;10454;922;3281;918;3273;1840;6554
110010;201801;6138;20717;5125;18999;1521;5525;2164;9007;3685;14532
110011;201801;6498;19154;5123;16541;1714;5771;1193;3922;2907;9693
110012;201801;14154;38666;10330;32164;2747;8972;1926;6098;4673;15070
110013;201801;5373;16491;4416;14683;1750;6005;844;3051;2594;9056
110014;201801;3755;10377;2837;8794;844;2696;1140;3458;1984;6154
110015;201801;4780;13700;3127;10429;824;2914;431;1446;1255;4360
110018;201801;3499;9489;2338;7555;558;2059;658;2032;1216;4091
110020;201801;67393;174421;47381;146674;10556;34593;18224;59948;28780;94541
110025;201801;4468;11916;3214;9789;528;1703;1808;5420;2336;7123
110026;201801;522;1586;452;1468;133;478;191;609;324;1087
110028;201801;6040;17345;4287;13922;1258;4392;536;1706;1794;6098
110029;201801;1332;3411;868;2691;216;684;365;1139;581;1823
110030;201801;10617;27638;7655;23405;1600;5536;3045;9284;4645;14820
110032;201801;3236;9854;2481;8259;863;2924;588;1979;1451;4903
110033;201801;4413;14195;3687;12843;1324;4683;1030;3947;2354;8630
110034;201801;3324;8752;2517;7596;825;2638;1118;3402;1943;6040
110037;201801;1698;5566;1412;4995;348;1280;642;2253;990;3533
110040;201801;2996;9042;2331;7807;744;2665;623;2006;1367;4671
110045;201801;4703;14663;3986;13649;1293;4756;1584;5410;2877;10166
110050;201801;1623;4977;1284;4317;529;1837;314;1058;843;2895
110060;201801;800;2545;595;2114;212;789;65;257;277;1046
110070;201801;1908;6273;1575;5501;568;2077;385;1295;953;3372
110080;201801;4800;12660;3768;11383;1036;3242;1795;5652;2831;8894
110090;201801;662;1851;464;1493;126;441;182;559;308;1000
110092;201801;1169;3623;982;3335;160;596;551;1909;711;2505
110094;201801;3132;9213;2491;8169;858;2905;794;2658;1652;5563
110100;201801;1913;5952;1653;5448;358;1275;847;2773;1205;4048
110110;201801;1595;4780;1230;4206;438;1570;269;982;707;2552
110120;201801;1479;4541;1116;3785;330;1183;242;818;572;2001
110130;201801;2383;6400;1618;5104;407;1431;503;1557;910;2988
110140;201801;2197;7012;1673;5935;453;1697;404;1408;857;3105
110143;201801;1419;3997;1035;3276;353;1159;280;882;633;2041
110145;201801;1013;2847;670;2184;165;574;225;731;390;1305
110146;201801;422;1213;302;1020;56;179;146;523;202;702
110147;201801;646;1819;440;1417;110;371;156;468;266;839
110148;201801;1011;3057;612;2116;110;414;71;247;181;661
110149;201801;2978;8718;2226;7501;865;2871;639;2361;1504;5232
110150;201801;2141;6123;1688;5425;707;2525;394;1190;1101;3715
110155;201801;730;2272;596;1961;133;468;232;734;365;1202
110160;201801;1618;5157;1272;4436;460;1576;295;1087;755;2663
110170;201801;2351;6540;1636;5175;346;1143;789;2462;1135;3605
110175;201801;1484;4434;1172;3964;202;734;587;2083;789;2817
110180;201801;1153;3304;907;2871;268;820;388;1276;656;2096
120001;201801;2875;9279;2507;8728;503;1753;1460;5362;1963;7115
120005;201801;1735;6861;1568;6580;183;852;1166;5019;1349;5871
120010;201801;5169;16666;4527;15583;638;2152;3126;11094;3764;13246
120013;201801;2039;8004;1928;7849;516;2024;1087;4768;1603;6792
120017;201801;2008;7020;1826;6704;391;1480;1005;3916;1396;5396
120020;201801;14007;60516;13348;59229;1595;7540;9790;44521;11385;52061
120025;201801;2566;8201;2236;7783;468;1657;1353;4838;1821;6495
120030;201801;6413;25361;6194;25008;369;1828;5180;20988;5549;22816
120032;201801;1586;7514;1511;7338;104;639;1182;5734;1286;6373
120033;201801;3845;14867;3636;14508;169;871;3144;12502;3313;13373
120034;201801;2286;8913;2025;8449;146;848;1582;6509;1728;7357
120035;201801;3314;14325;3197;14109;290;1504;2550;11317;2840;12821
120038;201801;2602;8996;2394;8627;604;2253;1256;4641;1860;6894
120039;201801;1831;8470;1762;8335;167;1007;1340;6357;1507;7364
120040;201801;41868;143955;37764;137108;7567;29275;21142;78264;28709;107539
120042;201801;3076;12300;2869;11840;172;889;2274;9358;2446;10247
120043;201801;1171;5264;1110;5125;62;376;953;4413;1015;4789
120045;201801;5083;15687;4652;15210;207;786;4230;13807;4437;14593
120050;201801;8376;32633;7827;31676;824;3748;5813;24023;6637;27771
120060;201801;8143;34954;7781;34326;571;3072;6410;28461;6981;31533
120070;201801;2756;9723;2586;9436;350;1271;1783;6713;2133;7984
120080;201801;3864;13991;3558;13486;593;2366;2399;9253;2992;11619
130002;201801;3123;12851;2895;12528;113;624;2597;11285;2710;11909
130006;201801;2225;9005;1897;8395;150;782;1439;6360;1589;7142
130008;201801;2387;8905;2154;8515;97;514;1773;7007;1870;7521
130010;201801;3689;10919;3239;10408;88;351;2988;9608;3076;9959
130014;201801;3086;9747;2581;8898;427;1548;1652;5782;2079;7330
130020;201801;2700;10541;2518;10238;131;766;2045;8268;2176;9034
130030;201801;8947;31273;8286;30559;172;505;7793;29254;7965;29759
130040;201801;3808;11506;3258;10787;222;758;2605;8759;2827;9517
130050;201801;6955;26420;5944;25118;229;1022;5279;22698;5508;23720
130060;201801;6784;28953;6019;27867;529;3127;4664;21521;5193;24648
130063;201801;5005;19078;4501;18490;137;673;4140;17140;4277;17813
130068;201801;3282;13187;2923;12468;224;1168;2185;9340;2409;10508
130070;201801;8204;26258;7133;25058;359;1233;6213;22310;6572;23543
130080;201801;5993;24780;5438;24034;467;2628;4264;18874;4731;21502
130083;201801;2487;9074;2245;8739;216;988;1738;6736;1954;7724
130090;201801;3123;10320;2871;9985;66;289;2582;9100;2648;9389
130100;201801;6594;22290;5941;21576;91;308;5670;20832;5761;21140
130110;201801;7287;22050;6367;20954;560;1622;5337;18087;5897;19709
130115;201801;5140;17076;4688;16488;125;495;4094;14561;4219;15056
130120;201801;14852;55065;13756;53646;1371;5612;11067;43981;12438;49593
130130;201801;4729;16709;3985;15736;471;2139;2993;11750;3464;13889
130140;201801;6433;24666;6249;24455;242;1098;5772;22619;6014;23717
130150;201801;3537;13887;3369;13672;126;748;3039;12290;3165;13038
130160;201801;4615;18007;4190;17453;323;1633;3457;14579;3780;16212
130165;201801;3028;12149;2879;11896;124;697;2517;10363;2641;11060
130170;201801;10768;34316;8919;32096;728;2885;7261;26613;7989;29498
130180;201801;4095;13146;3862;12871;56;263;3669;12210;3725;12473
130185;201801;14757;40864;12184;38112;516;1187;10721;34944;11237;36131
130190;201801;17444;59380;14872;55762;1911;7219;10514;40926;12425;48145
130195;201801;2225;8666;1904;8240;94;435;1678;7353;1772;7788
130200;201801;2169;6925;1876;6525;169;578;1454;5203;1623;5781
130210;201801;1403;5355;1264;5190;112;636;992;4002;1104;4638
130220;201801;2023;7921;1852;7619;142;712;1418;5875;1560;6587
130230;201801;3989;17741;3615;17189;349;1968;2914;13996;3263;15964
130240;201801;9967;33927;8576;31949;241;1418;7527;28037;7768;29455
130250;201801;23586;74823;21051;71929;1615;5437;17422;61062;19037;66499
130255;201801;4144;14676;3761;14032;269;1206;2994;11220;3263;12426
130260;201801;241306;750589;208252;698807;62324;223511;84533;287698;146857;511209
130270;201801;7631;30535;6805;29236;818;3743;4956;21986;5774;25729
130280;201801;3451;14150;3262;13940;79;354;3062;13261;3141;13615
130290;201801;11895;41560;10859;40387;232;569;10281;39078;10513;39647
130300;201801;4618;17114;4303;16638;240;1211;3685;14208;3925;15419
130310;201801;5489;20165;4964;19440;388;1582;4069;16226;4457;17808
130320;201801;3207;11126;2818;10617;329;1197;2053;8007;2382;9204
130330;201801;4091;14041;3522;13329;155;774;3059;11568;3214;12342
130340;201801;20194;71767;18072;69260;1521;5844;15068;59317;16589;65161
130350;201801;3714;14290;3456;13941;192;1131;2959;11782;3151;12913
130353;201801;6278;18847;5355;17663;886;2788;3678;12884;4564;15672
130356;201801;4807;16848;4320;16057;516;2022;3055;11646;3571;13668
130360;201801;3309;9664;2877;9207;85;228;2685;8719;2770;8947
130370;201801;5737;22337;5138;21533;205;1207;4420;18527;4625;19734
130380;201801;7600;31756;7270;31275;515;2734;6172;26366;6687;29100
130390;201801;5362;23817;4930;23023;536;2873;3662;17126;4198;19999
130395;201801;2350;7880;2061;7366;237;884;1478;5306;1715;6190
130400;201801;2405;8289;2111;7867;117;442;1853;6985;1970;7427
130406;201801;10904;40711;9691;39074;1802;7488;6570;27115;8372;34603
130410;201801;3997;14726;3498;13854;1031;4273;1677;6862;2708;11135
130420;201801;11778;46169;10640;44692;1139;5252;8390;35742;9529;40994
130423;201801;3846;13461;3441;12957;182;935;2979;11091;3161;12026
130426;201801;2638;10606;2512;10417;87;416;2304;9652;2391;10068
130430;201801;3856;12486;3547;12060;416;1400;2756;9526;3172;10926
130440;201801;4249;14004;3816;13501;103;399;3532;12592;3635;12991
140002;201801;1860;5847;1651;5585;111;468;1299;4337;1410;4805
140005;201801;3391;9375;3216;9187;115;359;3014;8594;3129;8953
140010;201801;49826;140271;39962;125979;10028;33282;15395;51778;25423;85060
140015;201801;3324;10401;3006;10024;201;659;2566;8726;2767;9385
140017;201801;3503;11006;3122;10501;316;1007;2298;8165;2614;9172
140020;201801;4873;15394;4226;14519;384;1586;3178;10900;3562;12486
140023;201801;2210;7098;1865;6579;240;890;1291;4641;1531;5531
140028;201801;2082;5580;1815;5225;198;649;1374;3851;1572;4500
140030;201801;4019;11919;3608;11402;391;1120;2823;9192;3214;10312
140040;201801;1922;8404;1800;8233;87;505;1630;7439;1717;7944
140045;201801;2605;9671;2231;9137;416;1665;1427;6235;1843;7900
140047;201801;6061;18161;5168;16783;1080;3552;2821;9652;3901;13204
140050;201801;1425;4330;1223;4031;156;506;822;2765;978;3271
140060;201801;1440;4144;1275;3902;118;348;1023;3169;1141;3517
140070;201801;1742;9483;1686;9334;153;1060;1311;7225;1464;8285
150010;201801;40197;108115;37191;104131;1568;5110;32163;89416;33731;94526
150013;201801;1778;4978;1518;4687;140;393;1140;3658;1280;4051
150020;201801;12988;42172;12352;41315;1330;3541;10133;35272;11463;38813
150030;201801;8497;33245;7817;32394;422;1837;6813;28584;7235;30421
150034;201801;4089;11150;3553;10402;260;800;2893;8520;3153;9320
150040;201801;13305;39569;11583;37582;1075;2719;9448;32582;10523;35301
150050;201801;6369;23542;5951;22930;172;893;5372;20736;5544;21629
150060;201801;19058;56324;16461;52419;3674;11630;9112;30334;12786;41964
